Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
512MB,480GB,,Patriot,Patriot Ignite M2 480GB M.2-2280 Solid State Drive,,$0.37,"[179.0, 186.48, 217.9]",,Yes,Q4 2006
32MB,120GB,,Patriot,"Patriot Blaze 120GB 2.5"" Solid State Drive",,$0.47,"[56.86, 57.69, 63.59]",,Yes,Q2 2011
16MB,600GB,,Seagate,"Seagate Cheetah 15K.7 600GB 3.5"" 15000RPM Internal Hard Drive",,$0.65,[386.99],15000,No,Q3 2007
64MB,4TB,,Western Digital,"Western Digital Red 4TB 3.5"" 5400RPM Internal Hard Drive",,$0.036,"[145.99, 145.99, 145.99, 145.99, 145.99, 154.75, 154.99, 155.65, 174.99, 189.99, 197.99]",5400,No,Q2 2007
N/A,960GB,,PNY,"PNY 960GB 2.5"" Solid State Drive",,$0.31,[289.99],,Yes,Q4 2000
N/A,16GB,,Transcend,"Transcend 16GB 2.5"" Solid State Drive",,$17.54,[280.63],,Yes,Q3 2011
128MB,6TB,,Seagate,"Seagate Enterprise 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.037,"[220.0, 259.99, 269.0, 315.99]",7200,No,Q3 2004
N/A,960GB,,Corsair,"Corsair Neutron XT 960GB 2.5"" Solid State Drive",,$0.49,"[469.99, 471.06]",,Yes,Q1 2014
32MB,2TB,,Seagate,"Seagate 2TB 2.5"" 5400RPM Internal Hard Drive",,$0.055,"[109.99, 109.99, 109.99, 109.99, 111.0, 139.99, 189.99]",5400,No,Q2 2013
N/A,800GB,,Intel,Intel DC P3600 800GB PCI-E Solid State Drive,,$0.87,"[699.0, 840.47, 1262.99]",,Yes,Q3 2003
64MB,6TB,,Western Digital,"Western Digital Purple 6TB 3.5"" 5400RPM Internal Hard Drive",,$0.039,"[234.99, 239.99, 239.99, 240.99, 239.99, 259.89, 261.98, 319.99]",5400,No,Q1 2009
N/A,360GB,,Intel,"Intel 540s 360GB 2.5"" Solid State Drive",,$0.40,"[144.88, 149.99]",,Yes,Q4 2006
N/A,1TB,,Sandisk,"Sandisk X400 1TB 2.5"" Solid State Drive",,$0.27,"[269.99, 265.79, 279.0]",,Yes,Q1 2010
